city_ar,district_ar,property_type_ar,growth_pct,growth_source,growth_confidence,yoy_growth_last_year_pct,yoy_volatility_3y,last_year
الخبر,38/ 2,قطعة أرض-سكنى,12.85,city,medium,,,
الخبر,43/ 2,قطعة أرض-سكنى,12.85,city,medium,,,
الخبر,489/ 2,قطعة أرض-تجارى,34.31,city,medium,,,
الخبر,489/ 2,قطعة أرض-سكنى,12.85,city,medium,,,
الخبر,أخرى,قطعة أرض-تجارى,58.02,district,high,58.02,0.0,2025.0
الخبر,أخرى,قطعة أرض-سكنى,32.55,district,high,-8.45,57.98,2026.0
الخبر,اشبيليا,قطعة أرض-تجارى,34.31,city,medium,,,
الخبر,اشبيليا,قطعة أرض-سكنى,32.77,district,high,-0.99,38.07,2026.0
الخبر,الأمواج,قطعة أرض-سكنى,12.85,city,medium,,,
الخبر,الأندلس,قطعة أرض-سكنى,12.85,city,medium,,,
الخبر,الامواج,قطعة أرض-تجارى,26.11,district,high,20.0,8.64,2021.0
الخبر,الامواج,قطعة أرض-سكنى,1.1,district,high,-14.89,25.12,2026.0
الخبر,البحر,قطعة أرض-تجارى,34.31,city,medium,,,
الخبر,البحر,قطعة أرض-سكنى,197.8,district,high,197.8,0.0,2025.0
الخبر,البحيرة,قطعة أرض-تجارى,34.31,city,medium,,,
الخبر,البحيرة,قطعة أرض-سكنى,-43.41,district,high,-43.41,0.0,2022.0
الخبر,البحيره,قطعة أرض-تجارى,-9.51,district,high,47.05,79.99,2020.0
الخبر,البحيره,قطعة أرض-سكنى,-50.84,district,high,-52.19,1.91,2019.0
الخبر,البندرية,قطعة أرض-سكنى,10.57,district,high,10.57,0.0,2025.0
الخبر,التحلية,قطعة أرض-تجارى,-13.3,district,high,-13.3,0.0,2025.0
الخبر,التحلية,قطعة أرض-سكنى,-15.2,district,high,-12.74,7.76,2026.0
الخبر,التعاون,قطعة أرض-سكنى,36.17,district,high,36.17,0.0,2025.0
الخبر,الثقبة,قطعة أرض-تجارى,34.31,city,medium,,,
الخبر,الثقبة,قطعة أرض-سكنى,16.57,district,high,-6.98,32.51,2026.0
الخبر,الثنيانيه,قطعة أرض-سكنى,15.97,district,high,15.97,0.0,2020.0
الخبر,الجسر,قطعة أرض-سكنى,16.38,district,high,48.28,28.54,2025.0
