city_ar,district_ar,property_type_ar,year,quarter,target_median_price_per_sqm,deals_count,std_price,min_price,max_price,iqr_price,prev_year_median_price_per_sqm,latitude,longitude,dist_school_km,dist_hospital_km,dist_mall_km,count_school_3km,count_hospital_3km,count_mall_3km,year_quarter_idx,baseline_price_per_sqm,baseline_log,target_log,target_resid
الخبر,38/ 2,قطعة أرض-سكنى,2023,1,1970.0,16,0.0,1970.0,1970.0,0.0,1900.0,26.3,50.1,1.183,0.496,0.525,34,65,89,8093,1850.5980168056403,7.523804338085922,7.58629630715272,0.06249196906679799
الخبر,43/ 2,قطعة أرض-سكنى,2019,3,898.0,10,167.64529353502428,500.0,1134.0,153.5,797.0,26.3,50.1,1.183,0.496,0.525,34,65,89,8079,1970.0,7.58629630715272,6.80128303447162,-0.7850132726811001
الخبر,489/ 2,قطعة أرض-تجارى,2020,3,571.0,10,21.884545536367266,550.0,596.0,46.0,2048.0,26.3,50.1,1.183,0.496,0.525,34,65,89,8083,1850.5980168056403,7.523804338085922,6.349138991379798,-1.1746653467061243
الخبر,489/ 2,قطعة أرض-سكنى,2020,3,596.0,10,51.5477125260342,550.0,686.0,43.75,2048.0,26.3,50.1,1.183,0.496,0.525,34,65,89,8083,1434.0,7.268920128193722,6.391917113392602,-0.8770030148011196
الخبر,أخرى,قطعة أرض-تجارى,2021,1,1599.5,24,1420.527264836873,533.0,6617.0,1207.5,2048.0,26.3,50.1,1.183,0.496,0.525,34,65,89,8085,571.0,6.349138991379798,7.378071359409918,1.0289323680301203
الخبر,أخرى,قطعة أرض-تجارى,2021,2,2300.0,16,1090.0446760721934,666.0,4157.0,1020.25,2048.0,26.3,50.1,1.183,0.496,0.525,34,65,89,8086,1599.5,7.378071359409918,7.741099090035366,0.3630277306254479
الخبر,أخرى,قطعة أرض-تجارى,2021,3,2768.0,11,1835.1356600832244,534.0,7577.0,1324.0,2048.0,26.3,50.1,1.183,0.496,0.525,34,65,89,8087,1949.75,7.575969192996871,7.926241523170962,0.3502723301740911
الخبر,أخرى,قطعة أرض-تجارى,2021,4,1013.5,14,1315.5470700079845,540.0,5119.0,1697.75,2048.0,26.3,50.1,1.183,0.496,0.525,34,65,89,8088,2300.0,7.741099090035366,6.922151159265869,-0.8189479307694967
الخبر,أخرى,قطعة أرض-تجارى,2025,4,3081.05539592586,18,1992.279001018781,1260.0,7222.222222222223,3419.0,2048.0,26.3,50.1,1.183,0.496,0.525,34,65,89,8104,1949.75,7.575969192996871,8.033351989737303,0.4573827967404327
الخبر,أخرى,قطعة أرض-سكنى,2021,1,1850.0,235,2273.577589673327,500.0,14883.0,2091.0,820.0,26.3,50.1,1.183,0.496,0.525,34,65,89,8085,898.0,6.80128303447162,7.523481312573497,0.7221982781018772
الخبر,أخرى,قطعة أرض-سكنى,2021,2,2100.0,147,1655.5810566030161,579.0,10986.0,1513.5,820.0,26.3,50.1,1.183,0.496,0.525,34,65,89,8086,1850.0,7.523481312573497,7.650168700845001,0.1266873882715034
الخبر,أخرى,قطعة أرض-سكنى,2021,3,2300.0,123,2876.382281058846,520.0,17203.0,1761.0,820.0,26.3,50.1,1.183,0.496,0.525,34,65,89,8087,1975.0,7.588829878307813,7.741099090035366,0.15226921172755326
الخبر,أخرى,قطعة أرض-سكنى,2021,4,2380.0,118,1697.8054545315424,515.0,9521.0,1290.25,820.0,26.3,50.1,1.183,0.496,0.525,34,65,89,8088,2100.0,7.650168700845001,7.7752758464868625,0.12510714564186198
الخبر,أخرى,قطعة أرض-سكنى,2025,3,3749.0,61,2589.9923252412827,651.0,12902.0,1294.0,2048.0,26.3,50.1,1.183,0.496,0.525,34,65,89,8103,2200.0,7.696667081526462,8.229511118964457,0.5328440374379948
