type,name,latitude,longitude
school,Creative International School,26.430459,50.099788
school,Rowad AlKhaleej International in Dammam - AlZahour Area,26.453173,50.088281
school,Saudi International School for Science and Art,26.377028,50.13892
school,Victory International Schools Dammam,26.431266,50.095896
school,Al Safi International Language School,26.412367,50.063842
school,Advance international school,26.465096,50.088023
school,Sri Lankan International School Dammam,26.439785,50.130674
school,Independent International School,26.419734,50.104102
school,International Indian School - Boys & KG Section,26.382512,50.181945
school,Al Khozama International School Dammam,26.368927,50.195044
school,"International Future School, Dammam",26.4178,50.105827
school,Dammam Academy School,26.456674,50.085581
school,ISG Dammam,26.433445,50.024524
school,Atlas international school,26.432419,50.092034
school,Al Muna International School for Boys,26.431925,50.097467
school,Rowad Al Khaleej Girls Private School in Dammam - Al Hamra,26.462092,50.088222
school,Bangladesh International School Dammam,26.422406,50.086662
school,مدارس الفرسان العالمية - الراكة,26.369045,50.188109
school,مدارس سمها العالمية,26.431288,50.103835
school,Admire International Academy Boys School,26.392255,50.085253
school,Aajad International School,26.386248,50.033054
school,Al Majd International School-Philippine Curriculum,26.360836,50.175175
school,Alhussan-Orbit international school مدارس المدار العالمية,26.374962,50.179971
school,مدارس البسام العالمية,26.398214,50.107164
school,Notion international school,26.396388,50.079675
school,Rand International Schools,26.475964,50.047167
school,AIA school,26.4166,50.100926
school,AlBassam School Boys,26.474519,50.127835
school,International Indian School - Girls Section,26.364973,50.1972
school,School,26.453073,50.087129
school,School beacons Dammam,26.417191,50.0495
school,New World International School,26.345102,50.190217
school,"Sahma International School, Dammam",26.431456,50.103649
school,مجمع الحصان التعليمي بنين بالدمام,26.419582,50.100791
school,Global Turkish school in Dammam,26.407448,50.036769
school,AL MUNA GIRLS SCHOOL,26.435308,50.11615
school,Admire International Academy Girls,26.393009,50.087027
school,BIT International school مدارس رواد الأعمال العالمية,26.408725,50.091623
school,Al Majd International School - Girls Section,26.361352,50.176361
school,مدارس أجيال الحصان العالمية Ajyal International School,26.420017,50.101035
school,Excellence International school - boys section,26.412047,50.112962
school,Al Hydaiyah Schools,26.433567,50.081365
school,Orient leaders international school,26.420364,50.098722
school,Sharq Driving School men/women,26.40136,50.091225
school,Tahtheeb Private Schools,26.472803,50.058489
school,Dunes International Schools,26.32624,50.165773
school,Al-Faisaliyah Islamic School,26.306029,50.199032
school,Al-Hussan High School,26.403358,50.126492
school,Old school أولد سكول الدمام,26.467754,50.059396
school,Mubarakiya secondary school eligibility,26.465832,50.088723
school,متوسطة مجمع ابن القيم التعليمي,26.477276,50.054268
school,Dhahran Ahliyya Schools,26.328939,50.164223
school,Saihat High School,26.481813,50.039313
school,مدرسة تعليم قيادة السيارات بالدمام,26.441356,50.029919
school,"Al Muhammadiyah, Dammam Saudi Arabia",26.466787,50.052745
school,Alshatti High School,26.416546,50.094481
school,Qadisiyah Primary School,26.440829,50.098289
school,Tarbia Private Schools for Girls,26.406649,50.077723
school,البسام الاهلية بنات,26.4636,50.118119
school,Riad civil Islam Girls' Schools,26.421362,50.077776
school,Imam Abdulrahman Bin Faisal University,26.3928,50.192587
